No.,Title,Members,Status,Scope,Type,Upgraded,Upgraded Status,Year of Signature (Upgraded),Year of Enforcement/Termination (Upgraded),Trade in Goods,Year of Signature (Goods),Year of Enforcement/ Termination (Goods),WTO Notification  (Goods),WTO Notification Link,WTO Notification Year (Goods),WTO Consideration Process (Goods),SPS/TBT ,Anti-Dumping Duty, Safeguard,Trade in Services,Year of Signature (Services),Year of Enforcement/ Termination (Services),WTO Notification (Services),WTO Notification Year (Services),WTO Consideration Process (Services),Liberalization Approach (Services),Investment,Year of Signature (Investment),Year of Enforcement/ Termination  (Investment),Liberatlization approach (Investment),BIT (Source UNCTAD),Trade Facilitation & Customs Cooperation,Government Procurement,Competition Policy,Intellectual Property,Dispute Settlement,Temporary Movement of Natural Persons ,Sustainable Development Related Provisions,Sustainable Development by Concept,Labour protection,Human Rights,Gender,Health,Environment,SMEs,Technical Cooperation,Transparency,Financial Services,Telecommunications,E-commerce,"Online Consumer Protection 
(in E-commerce Chapter)","Personal Data Protection 
(in E-commerce Chapter)","Data flows 
(in E-commerce Chapter)",Link to website
106,Georgia-European Union (EU),Georgia; European Union,Entry into Force,Country - Bloc,FTA & EIA,No,No,No,No,Yes,2014,2016,2016,http://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=848,2014,Factual Presentation distributed,Yes,Yes,No,Yes,2014,2014,GATS Art. V,2014,Factual Presentation distributed,Positive,Yes,2014,2014,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:2014:261:FULL&from=EN
107,Georgia-Kazakhstan,Georgia; Kazakhstan,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1997,1999,1999,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=84,2001,Factual Presentation not distributed  ,No,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,http://docsonline.wto.org/imrd/gen_redirectsearchdirect.asp?RN=0&searchtype=browse&query=@meta_Symbol%22WT/REG123/1%22&language=1&ct=DDFEnglish
108,Georgia-Republic of Moldova,Georgia; Republic of Moldova,Terminated,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1997,2007,2007,No,No,No report ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,In force,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/12086-Trade-agreements-with-Georgia-and-Moldova-evaluation_en
109,Georgia-Russian Federation,Georgia; Russian Federation,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1994,1994,1994,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=85,2001,Factual Presentation not distributed  ,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,http://docsonline.wto.org/imrd/gen_redirectsearchdirect.asp?RN=0&searchtype=browse&query=@meta_Symbol%22WT/REG118/1%22&language=1&ct=DDFEnglish
110,Georgia-Türkiye,Georgia; Türkiye,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,2007,2008,2008,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=636,2009,Factual Presentation distributed,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,Signed,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,http://rtais.wto.org/rtadocs/636/TOA/English/main text.doc
111,Georgia-Turkmenistan,Georgia; Turkmenistan,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1996,2000,2000,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=86,2001,Factual Presentation not distributed  ,No,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,http://docsonline.wto.org/imrd/gen_redirectsearchdirect.asp?RN=0&searchtype=browse&query=@meta_Symbol%22WT/REG122/1%22&language=1&ct=DDFEnglish
112,Georgia-Ukraine,Georgia; Ukraine,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1995,1996,1996,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=87,2001,Factual Presentation distributed,No,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,http://docsonline.wto.org/imrd/gen_redirectsearchdirect.asp?RN=0&searchtype=browse&query=@meta_Symbol%22WT/REG121/1%22&language=1&ct=DDFEnglish
113,Georgia-Ukraine-Azerbaijan-Republic of Moldova (GUAM),Georgia; Azerbaijan; Republic of Moldova; Ukraine,Entry into Force,Plurilateral,FTA & EIA,No,No,No,No,Yes,2002,2003,2003,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=620,2017,Factual Presentation not distributed,Yes,Yes,No,Yes,2002,2003,GATS Art. V,2017,Factual Presentation not distributed,Positive,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,https://guam-organization.org/en/agreement-on-establishment-of-free-trade-area-between-the-guuam-participating-states/
114,Georgia-United Kingdom,Georgia; United Kingdom,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2019,2021,2021,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=1103,2020,Factual Presentation currently being drafted,Yes,Yes,Yes,Yes,2019,2021,GATS Art. V,2021,Factual Presentation currently being drafted,Positive,Yes,2019,2021,Negative,In force,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/844167/CS_Georgia_1.2019_UK_Georgia_Strategic_Partnership_and_Cooperation_Agreement.pdf
115,Georgia-Uzbekistan,Georgia; Uzbekistan,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1995,2010,2010,No,No,No report ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,In force,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.enterprisegeorgia.gov.ge/en/Free-Trade-Regimes
116,Global System of Trade Preferences (GSTP),Algeria; Argentina; Bangladesh; Benin; Bolivia; Brazil; Cameroon; Chile; Colombia; Cuba; Ecuador; Egypt; Ghana; Guinea; Guyana; India; Indonesia; Iran (Islamic Republic of); Iraq; Democratic People's Republic of Korea; Republic of Korea; Libya; Malaysia; Mexico; Morocco; Mozambique; Myanmar; Nicaragua; Nigeria; Pakistan; Peru; Philippines; Romania; Singapore; Sri Lanka; Sudan; Tanzania; Thailand; Trinidad and Tobago; Tunisia; Venezuela; Viet Nam; Zimbabwe,Entry into Force,Plurilateral,Partial Scope Agreement,No,No,No,No,Yes,1988,1989,1989,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=146,1989,No report ,No,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,http://unctad.org/en/Docs/ditcmisc57_en.pdf
117,Group of 8 Preferential Trade Agreement (D-8 PTA),Bangladesh; Egypt; Indonesia; Iran (Islamic Republic of); Malaysia; Nigeria; Pakistan; Türkiye,Entry into Force,Plurilateral,Partial Scope Agreement,No,No,No,No,Yes,2006,2011,2011,No,No,No report ,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,https://mincom.portal.gov.bd/sites/default/files/files/mincom.portal.gov.bd/page/973880a5_4749_4345_9687_529c657681a2/D-8%20PTA_Full%20text.pdf
118,"Hong Kong, China-Chile (Upgrade)","Hong Kong, China; Chile",Entry into Force,Bilateral,FTA & EIA,Yes,Entry into Force,2022,2023,Yes,2012,2014,2014,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=746,2014,Factual Presentation distributed,Yes,Yes,Yes,Yes,2012,2014,GATS Art. V,2014,Factual Presentation distributed,Positive,Yes,2012,2014,Positive,In force,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,http://www.sice.oas.org/TPD/CHL_HKG/CHL_HKG_e.asp
119,"Hong Kong, China-European Free Trade Association (EFTA)","Hong Kong, China; Iceland; Liechtenstein; Norway; Switzerland",Entry into Force,Country - Bloc,FTA & EIA,No,No,No,No,Yes,2011,2012,2012,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=689,2012,Factual Presentation distributed,Yes,Yes,Yes,Yes,2011,2012,GATS Art. V,2012,Factual Presentation distributed,Negative,Yes,2011,2012,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,https://www.efta.int/free-trade/free-trade-agreements/hong-kong
120,"Hong Kong, China-Georgia","Hong Kong, China; Georgia",Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2018,2019,2019,http://rtais.wto.org/UI/CRShowRTAIDCard.aspx?rtaid=992,2019,Factual Presentation not distributed,Yes,Yes,Yes,Yes,2018,2019,GATS Art. V,2019,Factual Presentation not distributed,Positive,Yes,2018,2019,Negative,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,https://www.tid.gov.hk/english/ita/fta/hkgefta/text_agreement.html
121,"Hong Kong, China-Macao, China","Hong Kong, China; Macao, China",Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2017,2017,2017,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=1029,2017,Factual Presentation not distributed,Yes,Yes,Yes,Yes,2017,2017,GATS Art. V,2017,Factual Presentation not distributed,Positive,Yes,2017,2017,Positive,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,https://www.tid.gov.hk/english/ita/fta/hkmacao/index.html
122,"Hong Kong, China-Maldives ","Hong Kong, China; Maldives     ",Under Negotiation,Bilateral,Free Trade Agreement,No,No,No,No,Yes ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No ,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://aric.adb.org/fta/hong-kong[china]-and-maldives-free-trade-arrangement
123,"Hong Kong, China-New Zealand","Hong Kong, China; New Zealand",Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2010,2011,2011,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=488,2011,Factual Presentation distributed,Yes,Yes,Yes,Yes,2010,2011,GATS Art. V,2011,Factual Presentation distributed,Negative,No,No,No,No,In force,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.mfat.govt.nz/en/trade/free-trade-agreements/free-trade-agreements-in-force/nz-hong-kong-china-closer-economic-partnership/
124,"Hong Kong, China-Peru","Hong Kong, China; Peru",Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.info.gov.hk/gia/general/202211/16/P2022111600587.htm
125,India-Canada,India; Canada,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.international.gc.ca/trade-commerce/trade-agreements-accords-commerciaux/agr-acc/india-inde/fta-ale/background-contexte.aspx?lang=eng
126,India-Chile,India; Chile,Entry into Force,Bilateral,Partial Scope Agreement,No,No,No,No,Yes,2006,2007,2007,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=625,2009,Factual Presentation distributed,Yes,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,http://www.sice.oas.org/TPD/CHL_IND/CHL_IND_e.asp
127,India-Egypt,India; Egypt,Under Negotiation,Bilateral,Partial Scope Agreement,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,Terminated,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://mea.gov.in/bilateral-documents.htm?dtl/7619/Trade+Agreement
128,India-Eurasian Economic Union (EAEU),India; Armenia; Belarus; Kazakhstan; Kyrgyzstan; Russian Federation  ,Under Negotiation,Country - Bloc,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://eec.eaeunion.org/en/news/eaes-prodolzhaet-dialog-po-formirovaniyu-zony-svobodnoy-torgovli-s-indiey/
129,India-European Free Trade Association (EFTA),India; Iceland; Liechtenstein; Norway; Switzerland,Under Negotiation,Country - Bloc,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,http://rtais.wto.org/UI/PublicShowEARTAIDCard.aspx?rtaid=598,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,Yes,Yes,N/A,N/A,Yes,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.efta.int/free-trade/ongoing-negotiations-talks/india
130,India-European Union (EU),India; European Union (EU),Under Negotiation,Country - Bloc,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,http://rtais.wto.org/UI/PublicShowEARTAIDCard.aspx?rtaid=158,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ec.europa.eu/trade/policy/countries-and-regions/countries/india/
131,India-Gulf Cooperation Council (GCC),India; Bahrain; Kuwait; Oman; Qatar; Saudi Arabia; United Arab Emirates,Under Negotiation,Country - Bloc,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No notification,No,No report,No,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://commerce.gov.in/international-trade/trade-agreements/framework-agreement-with-gcc-states/
132,India-Indonesia,India; Indonesia,Under Negotiation,Bilateral,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Terminated,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://mea.gov.in/bilateral-documents.htm?dtl/6164/Trade+Agreement
133,India-Israel,India; Israel,Under Negotiation,Bilateral,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Terminated,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://commerce.gov.in/international-trade-trade-agreements-indias-current-engagements-in-rtas/india-israel-free-trade-agreement-fta-negotiations/
134,India-Japan,India; Japan,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2011,2011,2011,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=173,2011,Factual Presentation distributed,Yes,Yes,Yes,Yes,2011,2011,GATS Art. V,2011,Factual Presentation distributed,Positive,Yes,2011,2011,Negative,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,http://www.mofa.go.jp/region/asia-paci/india/epa201102/pdfs/ijcepa_ba_e.pdf
135,India-Malaysia,India; Malaysia,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2011,2011,2011,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=544,2011,Factual Presentation distributed,Yes,Yes,Yes,Yes,2011,2011,GATS Art. V,2011,Factual Presentation distributed,Positive,Yes,2011,2011,Positive,Terminated,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,http://fta.miti.gov.my/miti-fta/resources/Malaysia-India/MICECA.pdf
136,India-Mauritius,India; Mauritius,Entry into Force,Bilateral,FTA & EIA,No,No,No,No,Yes,2021,2021,2021,https://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=517,2021,Factual Presentation distributed,Yes,Yes,Yes,Yes,2021,2021,GATS Art. V,2021,Factual Presentation distributed,Positive,No,No,No,No,Terminated,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,http://www.mauritiustrade.mu/ressources/pdf/cecpa-trade-agreement.pdf
137,India-Nepal,India; Nepal,Entry into Force,Bilateral,Partial Scope Agreement,No,No,No,No,Yes,2009,2009,2009,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=392,2010,Factual Presentation not distributed  ,Yes,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,Terminated,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://wits.worldbank.org/GPTAD/PDF/archive/India-Nepal.pdf
138,India-New Zealand,India; New Zealand,Under Negotiation,Bilateral,FTA & EIA,No,No,No,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mfat.govt.nz/tr/trade/free-trade-agreements/free-trade-agreements-under-negotiation/new-zealand-india-fta/
